name,family,subsection,initial_release,official_website,repositories,overview
NetBSD,BSD Family,,Apr 1993,https://www.netbsd.org,Source Repository (CVS): https://cvsweb.netbsd.org; GitHub Mirror: https://github.com/NetBSD,"NetBSD — ""Of course it runs NetBSD"" — is a highly portable Unix-like operating system built around clean design and broad hardware support; for example, the same codebase runs on everything from VAX minicomputers and vintage home computers to modern ARM boards and Raspberry Pis, which is where its long-running slogan comes from in the first place."
FreeBSD,BSD Family,,Nov 1993,https://www.freebsd.org,Source Repository: https://cgit.freebsd.org; GitHub Mirror: https://github.com/freebsd,"FreeBSD — known for decades by its motto ""The Power to Serve"" — is a performance-oriented Unix-like system widely deployed in servers and infrastructure; for example, its networking stack and ZFS support have made it the base underneath large platforms like Netflix's content-delivery network and Sony's PlayStation operating system."
OpenBSD,BSD Family,,Jul 1996,https://www.openbsd.org,GitHub: https://github.com/openbsd; Game of Trees (Got) Mirror: https://openbsd.gothub.org/index.html,"OpenBSD's own homepage sums up its efforts as ""portability, standardization, correctness, proactive security and integrated cryptography""; for example, the project performs a continuous, ongoing source-code security audit of its own codebase, and its OpenSSH tool — now the standard way most of the internet logs into remote servers — was itself born out of OpenBSD."
DragonFly BSD,BSD Family,,Jul 2003,https://www.dragonflybsd.org,Source Repository: https://gitweb.dragonflybsd.org/?p=dragonfly.git;a=summary; GitHub: https://github.com/DragonFlyBSD,"DragonFly BSD is a FreeBSD fork that, in the project's own words, ""provides an opportunity for the BSD base to grow in an entirely different direction""; for example, its HAMMER2 filesystem and LWKT threading model were built from scratch by creator Matthew Dillon specifically to solve scalability problems he foresaw in FreeBSD's own approach to multiprocessing."
MidnightBSD,BSD Family,,Aug 2007,https://www.midnightbsd.org,GitHub: https://github.com/MidnightBSD,"MidnightBSD — ""a desktop operating system for x86 and x86-64 based PCs"" — is a FreeBSD derivative built specifically for everyday desktop use rather than servers; for example, it ships Xfce as its default desktop and bundles email, web browsing, and office software out of the box, filling a gap its founder felt FreeBSD itself had long overlooked."
GhostBSD,BSD Family,,Mar 2010,https://www.ghostbsd.org,GitHub: https://github.com/ghostbsd,"GhostBSD is ""a user-friendly, open-source operating system based on FreeBSD"", designed to provide a secure and efficient desktop experience for everyone; for example, it ships a ready-to-use MATE desktop out of the box and follows a slow, conservative release cycle rather than chasing bleeding-edge packages, making FreeBSD approachable for people coming from a regular Linux desktop."
HardenedBSD,BSD Family,,2014,https://hardenedbsd.org,GitHub: https://github.com/HardenedBSD,"HardenedBSD — ""implements strong exploit mitigations and security hardening technologies on top of FreeBSD"" — began in 2013 as an Address Space Layout Randomization (ASLR) patch for FreeBSD before growing into a full security-focused fork; for example, the firewall project OPNsense adopted HardenedBSD's ASLR implementation in 2016, and by 2019 had migrated to HardenedBSD entirely."
Linux From Scratch,Linux Distributions,,1998,https://www.linuxfromscratch.org,Source Repository: https://git.linuxfromscratch.org; GitHub Mirror: https://github.com/lfs-book,"Linux From Scratch (LFS) — ""Your Distro, Your Rules"" — is a project that provides step-by-step instructions for building a custom Linux system entirely from source code, letting users understand and control every component of their operating system; for example, choosing their own init system, C library, or kernel configuration instead of inheriting someone else's defaults."
Gentoo,Linux Distributions,,"1999, 2000, 2001, Mar 2002",https://www.gentoo.org,Source Repository: https://gitweb.gentoo.org; GitHub Mirror: https://github.com/gentoo; Codeberg: https://codeberg.org/gentoo/gentoo,"Gentoo — ""can be automatically optimized and customized for just about any application or need"" — is a source-based Linux distribution built around the Portage package manager, which compiles software locally rather than installing pre-built binaries; for example, a user can toggle specific USE flags to build the very same package differently for a lightweight server versus a full gaming desktop."
Arch Linux,Linux Distributions,,"2001, Mar 2002",https://archlinux.org,GitLab: https://gitlab.archlinux.org/archlinux,"Arch Linux — ""a lightweight and flexible Linux distribution that tries to Keep It Simple"" — ships mostly unmodified upstream software and lets users build up their system package by package with pacman; for example, the community-run Arch User Repository (AUR) adds thousands of user-submitted packages on top of the official repositories."
Puppy Linux,Linux Distributions,,Jun 2003,https://puppylinux-woof-ce.github.io,GitHub: https://github.com/puppylinux-woof-ce,"Puppy Linux — ""a collection of multiple Linux distributions"" built on the same shared tools and principles — is designed to be ready to use, typically 1.5 GB or less in size, and customizable within minutes; for example, several official variants are built on top of Ubuntu, Debian, or Slackware packages while keeping the same lightweight Puppy-specific desktop and utilities."
Fedora,Linux Distributions,,Nov 2003,https://fedoraproject.org,Source Repository: https://forge.fedoraproject.org,"Fedora — sponsored by Red Hat and shaped by ""an innovative, free, and open source platform for hardware, clouds, and containers"" — ships several official editions built from the same upstream packages; for example, Fedora Workstation targets everyday desktop use while Fedora CoreOS and Fedora IoT package that same base for container hosts and embedded devices, and its immutable Fedora Atomic base — Silverblue with GNOME, Kinoite with KDE Plasma, among others — has, in turn, become a foundation other projects build on top of. Beyond the main editions, Fedora also offers official Spins that swap in a different desktop from the same repositories — KDE Plasma, Xfce, MATE, and others — and Labs, curated software bundles built for a specific field, such as the Astronomy Lab or the Security Lab, so someone in a particular niche gets a ready-to-go Fedora tailored to it from day one."
